Vota a la lista: -2; Edad: 47; Genero: M
Vota a la lista: -2; Edad: 32; Genero: H
Vota a la lista: -2; Edad: 43; Genero: M
Vota a la lista: -2; Edad: 56; Genero: H
Vota a la lista: -2; Edad: 41; Genero: M
Vota a la lista: -2; Edad: 33; Genero: H
Vota a la lista: -2; Edad: 24; Genero: H
Vota a la lista: -2; Edad: 57; Genero: M
Vota a la lista: -2; Edad: 27; Genero: M
Vota a la lista: -2; Edad: 30; Genero: M
Vota a la lista: -2; Edad: 49; Genero: H
Vota a la lista: -2; Edad: 47; Genero: H
Vota a la lista: -2; Edad: 33; Genero: M
Vota a la lista: -2; Edad: 35; Genero: H
Vota a la lista: -2; Edad: 42; Genero: M
Vota a la lista: -2; Edad: 61; Genero: M
Vota a la lista: -2; Edad: 40; Genero: H
Vota a la lista: -2; Edad: 50; Genero: H
Vota a la lista: -2; Edad: 40; Genero: M
Vota a la lista: -2; Edad: 54; Genero: M
Vota a la lista: -2; Edad: 37; Genero: M
Vota a la lista: -2; Edad: 45; Genero: H
Vota a la lista: -2; Edad: 56; Genero: M
Vota a la lista: -2; Edad: 47; Genero: H
Vota a la lista: -2; Edad: 56; Genero: M
Vota a la lista: -2; Edad: 55; Genero: M
Vota a la lista: 0; Edad: 60; Genero: H
Vota a la lista: 0; Edad: 63; Genero: H
Vota a la lista: 0; Edad: 45; Genero: M
Vota a la lista: 0; Edad: 65; Genero: M
Vota a la lista: 0; Edad: 41; Genero: H
Vota a la lista: 0; Edad: 31; Genero: M
Vota a la lista: 0; Edad: 44; Genero: H
Vota a la lista: 0; Edad: 49; Genero: H
Vota a la lista: 0; Edad: 60; Genero: M
Vota a la lista: 0; Edad: 22; Genero: M
Vota a la lista: 0; Edad: 51; Genero: M
Vota a la lista: 0; Edad: 46; Genero: M
Vota a la lista: 0; Edad: 34; Genero: M
Vota a la lista: 0; Edad: 31; Genero: H
Vota a la lista: 0; Edad: 54; Genero: H
Vota a la lista: 0; Edad: 32; Genero: M
Vota a la lista: 0; Edad: 23; Genero: H
Vota a la lista: 0; Edad: 54; Genero: H
Vota a la lista: 0; Edad: 21; Genero: H
Vota a la lista: 0; Edad: 25; Genero: H
Vota a la lista: 0; Edad: 47; Genero: H
Vota a la lista: 0; Edad: 29; Genero: M
Vota a la lista: 0; Edad: 62; Genero: H
Vota a la lista: 0; Edad: 45; Genero: M
Vota a la lista: 0; Edad: 26; Genero: M
Vota a la lista: 0; Edad: 33; Genero: M
Vota a la lista: 0; Edad: 60; Genero: M
Vota a la lista: 0; Edad: 51; Genero: M
Vota a la lista: 0; Edad: 20; Genero: M
Vota a la lista: 0; Edad: 54; Genero: H
Vota a la lista: 0; Edad: 54; Genero: M
Vota a la lista: 0; Edad: 65; Genero: H
Vota a la lista: 0; Edad: 40; Genero: M
Vota a la lista: 0; Edad: 58; Genero: M
Vota a la lista: 0; Edad: 35; Genero: H
Vota a la lista: 0; Edad: 60; Genero: M
Vota a la lista: 0; Edad: 27; Genero: M
Vota a la lista: 0; Edad: 48; Genero: M
Vota a la lista: 0; Edad: 31; Genero: M
Vota a la lista: 1; Edad: 54; Genero: H
Vota a la lista: 1; Edad: 24; Genero: M
Vota a la lista: 1; Edad: 39; Genero: M
Vota a la lista: 1; Edad: 59; Genero: M
Vota a la lista: 1; Edad: 18; Genero: H
Vota a la lista: 1; Edad: 62; Genero: H
Vota a la lista: 1; Edad: 30; Genero: M
Vota a la lista: 1; Edad: 31; Genero: H
Vota a la lista: 1; Edad: 62; Genero: H
Vota a la lista: 1; Edad: 23; Genero: M
Vota a la lista: 1; Edad: 45; Genero: H
Vota a la lista: 1; Edad: 27; Genero: H
Vota a la lista: 1; Edad: 38; Genero: M
Vota a la lista: 1; Edad: 54; Genero: M
Vota a la lista: 1; Edad: 52; Genero: M
Vota a la lista: 1; Edad: 63; Genero: H
Vota a la lista: 1; Edad: 18; Genero: M
Vota a la lista: 1; Edad: 32; Genero: H
Vota a la lista: 1; Edad: 63; Genero: H
Vota a la lista: 1; Edad: 37; Genero: H
Vota a la lista: 1; Edad: 30; Genero: H
Vota a la lista: 1; Edad: 26; Genero: M
Vota a la lista: 1; Edad: 23; Genero: M
Vota a la lista: 1; Edad: 26; Genero: H
Vota a la lista: 1; Edad: 47; Genero: M
Vota a la lista: 1; Edad: 61; Genero: H
Vota a la lista: 1; Edad: 23; Genero: H
Vota a la lista: 1; Edad: 45; Genero: M
Vota a la lista: 1; Edad: 28; Genero: H
Vota a la lista: 1; Edad: 26; Genero: H
Vota a la lista: 1; Edad: 26; Genero: H
Vota a la lista: 1; Edad: 52; Genero: H
Vota a la lista: 1; Edad: 35; Genero: M
Vota a la lista: 1; Edad: 47; Genero: H
Vota a la lista: 1; Edad: 36; Genero: M
Vota a la lista: 1; Edad: 39; Genero: H
Vota a la lista: 2; Edad: 55; Genero: H
Vota a la lista: 2; Edad: 29; Genero: H
Vota a la lista: 2; Edad: 18; Genero: M
Vota a la lista: 2; Edad: 42; Genero: M
Vota a la lista: 2; Edad: 40; Genero: H
Vota a la lista: 2; Edad: 54; Genero: H
Vota a la lista: 2; Edad: 30; Genero: M
Vota a la lista: 2; Edad: 35; Genero: H
Vota a la lista: 2; Edad: 59; Genero: H
